PCA1,PCA2,Item,Cluster
3.45304272049212,2.4438571026065445,감귤,1
-0.3834996310816271,-1.0997116855729252,감자,0
-1.6910754567109718,-0.10871102862244213,고구마,0
-0.60239159158726,-0.13421681479135833,단감,0
-1.9041361113267181,-0.6628311726403768,당근,0
-0.38292551453301205,-0.9523892915355558,대파,0
3.766392722562846,4.090553065419616,딸기,1
-1.214256037932263,1.5494372298929031,마늘,0
4.790283480684405,-3.556507190821521,무,2
-1.2987132802263082,-0.48088290111864257,바나나,0
-1.6448460783689334,1.0066852055643074,방울토마토,0
-0.0334449131347989,0.09875584902749972,배,0
3.131641223633492,-2.063457428912209,배추,2
3.7752065431892152,1.972222400039883,복숭아,1
-1.0059416112796469,1.2342458462900814,부추,0
0.2767757999815252,0.0010318414929937107,사과,0
-1.5974411435041047,0.5701140555881246,상추,0
-2.3167560988608953,0.6719581584517352,새송이,0
1.2366703530541614,-1.086959025076126,수박,0
-1.5186102879231693,0.719929684676785,시금치,0
-1.3083158741198437,-1.5829114766943928,양배추,0
2.0128516643371084,-3.2013173943746875,양파,2
-1.8640892893222316,-0.6602954686147898,얼갈이배추,0
-2.254364925728691,-0.5486903353805864,열무,0
1.0972971772359532,-1.359986835808685,오이,0
0.03221322124921343,0.25693008789269467,참외,0
-1.311453091434312,0.10088180102089138,토마토,0
1.0699402377473595,2.6647421760582426,포도,1
-1.3075991299642478,0.8360021648859317,풋고추,0
-1.002455077128361,-0.718478618943933,호박,0
